param hfix := 
 LYF102G Ht104  18
 LYF102G Ht102  17
 LYF102G O202  20
 LYF102G O201  12
 LYF102G A310  3
 LOG504G O301  32
 LOG504G Ht204  16
 LOG504G N166  24
 LOG504G O102  11
 TAK102G O301  6
 TAK102G O102  2
 TAK302G O102  5
 ABF305G A304  11
 ABF305G A310  2
 BYG101M A311  9
 BYG101M A101  1
 EDL520M L102  9
 EDL520M L201  3
 FRG102G E203C  50
 FRG102G L204  12
 HAG512M L103  7
 HAG512M L201  1
 HJU701G Ht102  35
 HJU701G A207  7
 HJU702G A201  19
 HJU702G A301  15
 HJU702G A101  7
 HSP107G H204  16
 HSP107G H205  25
 HSP107G A303  1
 IDN113F L103  17
 IDN113F L201  3
 ISE305G Ht104  15
 ISE305G Ht103  14
 ISE305G A310  1
 ISE308M A311  4
 ISL111G N130  12
 ISL111G N131  22
 ISL111G A303  2
 JAP102G A301  17
 JAP102G A310  1
 JAP304G A311  11
 JAP304G A101  1
 LAN107G E103C  40
 LAN107G E201C  44
 LAN305G A201  12
 LAN305G A304  14
 LAN305G A310  4
 LIS102G Ht105  21
 LIS102G A101  1
 LSS302G O201  17
 LSS302G L102  16
 LSS302G L201  4
 NAR101G A050  20
 NAR101G A207  1
 NAR501M Ht103  9
 OSS101F Ht103  29
 OSS101F L201  1
 RUS106G A301  16
 RUS106G A101  1
 SJU107G Ht105  21
 SJU107G O201  14
 SJU107G A101  3
 SJU509G H207  27
 SJU509G H208  3
 SPA107G A201  17
 SPA107G A310  2
 STJ303M Ht102  28
 STJ317G Ht105  38
 STJ317G L201  6
 UMV101M V261  12
 UMV101M V152  18
 UMV101M L205  1
 VID509G V156  22
 VID509G V261  18
 VID509G V138  18
 VID509G V152  17
 VID509G V258  22
 VID509G L205  8
 TJO328G Ht104  19
 TJO328G L205  2
;
end;
